,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-12-05,770.0000,780.0000,766.9686,778.2200,778.2200,1688473,0.0000,1.0000
2016-12-06,780.1900,785.2800,773.3200,776.1800,776.1800,1734099,0.0000,1.0000
2016-12-07,779.9500,792.0000,773.5300,791.4700,791.4700,2029415,0.0000,1.0000
2016-12-08,792.9500,799.0000,787.9050,795.1700,795.1700,1612531,0.0000,1.0000
2016-12-09,799.3000,809.9500,798.0500,809.4500,809.4500,1904463,0.0000,1.0000
2016-12-12,804.8200,811.3500,804.5311,807.9000,807.9000,1628602,0.0000,1.0000
2016-12-13,812.3900,824.3000,811.9400,815.3400,815.3400,2128210,0.0000,1.0000
2016-12-14,815.9200,824.2600,812.7800,817.8900,817.8900,1799654,0.0000,1.0000
2016-12-15,817.3600,823.0000,812.0000,815.6500,815.6500,1769719,0.0000,1.0000
2016-12-16,818.3100,819.2000,808.1200,809.8400,809.8400,2598866,0.0000,1.0000
2016-12-19,809.2800,816.2200,804.5000,812.5000,812.5000,1263581,0.0000,1.0000
2016-12-20,813.3700,816.4900,811.0000,815.2000,815.2000,1271883,0.0000,1.0000
2016-12-21,815.7200,815.7200,805.1000,812.2000,812.2000,1459628,0.0000,1.0000
2016-12-22,809.1000,811.0700,806.0300,809.6800,809.6800,1132119,0.0000,1.0000
2016-12-23,808.0100,810.9696,805.1100,807.8000,807.8000,765537,0.0000,1.0000
2016-12-27,808.6800,816.0000,805.8000,809.9300,809.9300,975962,0.0000,1.0000
2016-12-28,813.3300,813.3300,802.4400,804.5700,804.5700,1214756,0.0000,1.0000
2016-12-29,802.3300,805.7500,798.1440,802.8800,802.8800,1057392,0.0000,1.0000
2016-12-30,803.2100,803.2850,789.6200,792.4500,792.4500,1735879,0.0000,1.0000
2017-01-03,800.6200,811.4350,796.8900,808.0100,808.0100,1959033,0.0000,1.0000
2017-01-04,809.8900,813.4300,804.1100,807.7700,807.7700,1515339,0.0000,1.0000
2017-01-05,807.5000,813.7400,805.9200,813.0200,813.0200,1340535,0.0000,1.0000
2017-01-06,814.9900,828.9600,811.5000,825.2100,825.2100,2017097,0.0000,1.0000
2017-01-09,826.3700,830.4300,821.6200,827.1800,827.1800,1408924,0.0000,1.0000
2017-01-10,827.0700,829.4100,823.1400,826.0100,826.0100,1197442,0.0000,1.0000
2017-01-11,826.6200,829.9000,821.4700,829.8600,829.8600,1325394,0.0000,1.0000
2017-01-12,828.3800,830.3800,821.0100,829.5300,829.5300,1350308,0.0000,1.0000
2017-01-13,831.0000,834.6500,829.5200,830.9400,830.9400,1290182,0.0000,1.0000
2017-01-17,830.0000,830.1800,823.2001,827.4600,827.4600,1440905,0.0000,1.0000
2017-01-18,829.8000,829.8100,824.0800,829.0200,829.0200,1027698,0.0000,1.0000
2017-01-19,829.0000,832.9999,823.9600,824.3700,824.3700,1070454,0.0000,1.0000
2017-01-20,829.0900,829.2400,824.6000,828.1700,828.1700,1306183,0.0000,1.0000
2017-01-23,831.6100,845.5428,828.7000,844.4300,844.4300,2457377,0.0000,1.0000
2017-01-24,846.9800,851.5200,842.2800,849.5300,849.5300,1688375,0.0000,1.0000
2017-01-25,853.5500,858.7936,849.7400,858.4500,858.4500,1662148,0.0000,1.0000
2017-01-26,859.0500,861.0000,850.5201,856.9800,856.9800,3493251,0.0000,1.0000
2017-01-27,859.0000,867.0000,841.9000,845.0300,845.0300,3752497,0.0000,1.0000
2017-01-30,837.0600,837.2300,821.0300,823.8300,823.8300,3516933,0.0000,1.0000
2017-01-31,819.5000,823.0700,813.4000,820.1900,820.1900,2020180,0.0000,1.0000
2017-02-01,824.0000,824.0000,812.2500,815.2400,815.2400,2251047,0.0000,1.0000
2017-02-02,815.0000,824.5600,812.0510,818.2600,818.2600,1689179,0.0000,1.0000
2017-02-03,823.1300,826.1300,819.3500,820.1300,820.1300,1528095,0.0000,1.0000
2017-02-06,820.9200,822.3900,814.2900,821.6200,821.6200,1350875,0.0000,1.0000
2017-02-07,825.5000,831.9200,823.2926,829.2300,829.2300,1666605,0.0000,1.0000
2017-02-08,830.5300,834.2500,825.1100,829.8800,829.8800,1302225,0.0000,1.0000
2017-02-09,831.7300,831.9800,826.5000,830.0600,830.0600,1194238,0.0000,1.0000
2017-02-10,832.9500,837.1500,830.5100,834.8500,834.8500,1415128,0.0000,1.0000
2017-02-13,837.7000,841.7350,836.2460,838.9600,838.9600,1295708,0.0000,1.0000
2017-02-14,839.7700,842.0000,835.8300,840.0300,840.0300,1363345,0.0000,1.0000
2017-02-15,838.8100,841.7725,836.2200,837.3200,837.3200,1357185,0.0000,1.0000
2017-02-16,838.5000,842.6900,837.2600,842.1700,842.1700,1005084,0.0000,1.0000
2017-02-17,841.3100,846.9400,839.7800,846.5500,846.5500,1461210,0.0000,1.0000
2017-02-21,847.9900,852.2000,846.5500,849.2700,849.2700,1261062,0.0000,1.0000
2017-02-22,848.0000,853.7900,846.7101,851.3600,851.3600,1224889,0.0000,1.0000
2017-02-23,851.0800,852.6200,842.5000,851.0000,851.0000,1386681,0.0000,1.0000
2017-02-24,847.6500,848.3600,842.9601,847.8100,847.8100,1346189,0.0000,1.0000
2017-02-27,844.9500,850.6700,843.0100,849.6700,849.6700,1010333,0.0000,1.0000
2017-02-28,847.3500,848.8300,841.4422,844.9300,844.9300,1383119,0.0000,1.0000
2017-03-01,851.3800,858.0000,849.0200,856.7500,856.7500,1818671,0.0000,1.0000
2017-03-02,856.3100,856.4900,848.7200,849.8500,849.8500,1250938,0.0000,1.0000
2017-03-03,848.9400,850.8200,844.7050,849.0800,849.0800,1006612,0.0000,1.0000
2017-03-06,846.8600,848.9400,841.1700,847.2700,847.2700,1047872,0.0000,1.0000
2017-03-07,847.2600,853.3300,845.5200,851.1500,851.1500,1038696,0.0000,1.0000
2017-03-08,853.1200,856.9300,851.2500,853.6400,853.6400,1029834,0.0000,1.0000
2017-03-09,853.6900,860.7100,852.6700,857.8400,857.8400,1347697,0.0000,1.0000
2017-03-10,862.7000,864.2290,857.6100,861.4050,861.4050,1336585,0.0000,1.0000
2017-03-13,860.8300,867.1300,860.8200,864.5800,864.5800,1166605,0.0000,1.0000
2017-03-14,863.7500,867.5800,860.1300,865.9100,865.9100,1061692,0.0000,1.0000
2017-03-15,867.9400,869.8800,861.2950,868.3900,868.3900,1332885,0.0000,1.0000
2017-03-16,870.5300,872.7100,867.5200,870.0000,870.0000,1104452,0.0000,1.0000
2017-03-17,873.6800,874.4200,868.3700,872.3700,872.3700,1868252,0.0000,1.0000
2017-03-20,869.4800,870.3400,864.6650,867.9100,867.9100,1542199,0.0000,1.0000
2017-03-21,870.0600,873.4700,847.6870,850.1400,850.1400,2537978,0.0000,1.0000
2017-03-22,849.4800,855.3500,847.0000,849.8000,849.8000,1366749,0.0000,1.0000
