,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-05-14,225.6000,227.2900,222.5100,222.9300,222.9300,3096600,0.0000,1.0000
2012-05-15,226.5000,230.6100,223.0000,224.3900,224.3900,5713700,0.0000,1.0000
2012-05-16,225.0000,228.0000,222.5000,224.0600,224.0600,5261800,0.0000,1.0000
2012-05-17,225.0500,226.0000,218.0900,218.3600,218.3600,4505500,0.0000,1.0000
2012-05-18,219.4100,219.6300,212.8100,213.8500,213.8500,5231700,0.0000,1.0000
2012-05-21,214.0300,219.9800,212.8200,218.1100,218.1100,3579800,0.0000,1.0000
2012-05-22,218.3100,218.8700,213.9600,215.3300,215.3300,3733100,0.0000,1.0000
2012-05-23,214.7100,217.5500,211.1800,217.2800,217.2800,4243800,0.0000,1.0000
2012-05-24,216.9800,217.6600,212.7000,215.2400,215.2400,3141100,0.0000,1.0000
2012-05-25,214.9900,215.9800,212.2200,212.8900,212.8900,2171400,0.0000,1.0000
2012-05-29,214.3000,216.5500,212.2900,214.7500,214.7500,2693900,0.0000,1.0000
2012-05-30,212.1400,212.9800,207.7520,209.2300,209.2300,4078200,0.0000,1.0000
2012-05-31,209.4800,213.7878,207.1100,212.9100,212.9100,4944000,0.0000,1.0000
2012-06-01,208.4400,211.2300,207.3000,208.2200,208.2200,3951500,0.0000,1.0000
2012-06-04,207.4000,215.3500,206.3700,214.5700,214.5700,4299600,0.0000,1.0000
2012-06-05,213.8500,216.8600,211.1600,213.2100,213.2100,3543900,0.0000,1.0000
2012-06-06,214.6300,218.4000,214.5200,217.6400,217.6400,2710100,0.0000,1.0000
2012-06-07,219.6500,221.4900,218.1100,218.8000,218.8000,3503900,0.0000,1.0000
2012-06-08,218.6100,219.4200,216.6600,218.4800,218.4800,2877000,0.0000,1.0000
2012-06-11,217.4900,220.8700,215.2000,216.5000,216.5000,3749100,0.0000,1.0000
2012-06-12,217.6500,218.0000,214.5222,216.4200,216.4200,2833300,0.0000,1.0000
2012-06-13,215.5200,217.3800,213.5200,214.7300,214.7300,2325200,0.0000,1.0000
2012-06-14,215.2600,216.5000,212.5600,214.4500,214.4500,3060900,0.0000,1.0000
2012-06-15,215.2900,219.3300,214.4600,218.3500,218.3500,3785200,0.0000,1.0000
2012-06-18,217.2800,223.7600,216.7300,222.6600,222.6600,3369600,0.0000,1.0000
2012-06-19,223.2600,225.2000,221.6600,224.0300,224.0300,2716600,0.0000,1.0000
2012-06-20,224.5100,224.7400,220.8400,223.0200,223.0200,2444400,0.0000,1.0000
2012-06-21,223.8400,226.0300,220.5200,220.5750,220.5750,2843000,0.0000,1.0000
2012-06-22,221.8300,222.5100,219.3500,222.1600,222.1600,2187500,0.0000,1.0000
2012-06-25,220.3000,221.5900,218.0000,220.0700,220.0700,2382300,0.0000,1.0000
2012-06-26,221.4500,226.3900,221.4500,225.6100,225.6100,3754100,0.0000,1.0000
2012-06-27,225.0100,227.5000,223.3000,225.6200,225.6200,2799200,0.0000,1.0000
2012-06-28,223.9200,224.6200,218.7500,221.3100,221.3100,2994800,0.0000,1.0000
2012-06-29,224.7000,228.3500,223.7100,228.3500,228.3500,3614400,0.0000,1.0000
2012-07-02,229.3000,229.3400,226.3400,229.3200,229.3200,2330700,0.0000,1.0000
2012-07-03,229.1400,229.5300,227.5900,229.5300,229.5300,1331700,0.0000,1.0000
2012-07-05,228.6200,230.5000,226.5300,227.0600,227.0600,2682300,0.0000,1.0000
2012-07-06,226.3500,228.9000,224.1800,225.0500,225.0500,3203200,0.0000,1.0000
2012-07-09,225.0000,226.0000,223.4500,225.0500,225.0500,1922000,0.0000,1.0000
2012-07-10,226.2500,227.1400,218.2800,219.5000,219.5000,2982100,0.0000,1.0000
2012-07-11,218.9500,221.7400,215.3400,218.3700,218.3700,2734700,0.0000,1.0000
2012-07-12,216.6100,217.3000,212.6100,215.3600,215.3600,2616200,0.0000,1.0000
2012-07-13,215.6300,219.3100,213.8800,218.3900,218.3900,2221900,0.0000,1.0000
2012-07-16,216.6000,218.3100,214.4600,216.0100,216.0100,2004200,0.0000,1.0000
2012-07-17,217.4500,217.9400,213.9600,216.9300,216.9300,1987000,0.0000,1.0000
2012-07-18,216.1500,218.6700,215.7100,217.4700,217.4700,2093000,0.0000,1.0000
2012-07-19,220.7300,227.5000,220.6900,226.1700,226.1700,5449400,0.0000,1.0000
2012-07-20,225.3600,229.3900,225.2950,228.2900,228.2900,4170000,0.0000,1.0000
2012-07-23,224.7200,226.5800,221.5400,226.0100,226.0100,5515100,0.0000,1.0000
2012-07-24,226.2700,226.6100,221.2300,223.0400,223.0400,5008700,0.0000,1.0000
2012-07-25,222.0000,222.5000,215.9100,217.0500,217.0500,3646700,0.0000,1.0000
2012-07-26,220.0000,221.4500,214.9500,220.0100,220.0100,6937400,0.0000,1.0000
2012-07-27,225.2500,238.3400,224.5000,237.3200,237.3200,11313900,0.0000,1.0000
2012-07-30,237.0000,240.7400,234.0700,236.0900,236.0900,3736400,0.0000,1.0000
2012-07-31,235.1000,236.3000,231.6100,233.3000,233.3000,3453600,0.0000,1.0000
2012-08-01,234.1400,234.3800,230.7001,232.0900,232.0900,2543800,0.0000,1.0000
2012-08-02,230.5600,234.3400,228.6600,230.8100,230.8100,3048100,0.0000,1.0000
2012-08-03,234.0300,236.4900,233.0300,234.9700,234.9700,2825300,0.0000,1.0000
2012-08-06,235.5600,235.7400,233.8100,233.9900,233.9900,1843700,0.0000,1.0000
2012-08-07,234.1300,238.0000,233.2500,236.5600,236.5600,2058300,0.0000,1.0000
2012-08-08,235.2900,236.4500,233.5920,234.3800,234.3800,1534300,0.0000,1.0000
2012-08-09,233.9300,235.9900,233.5000,234.0600,234.0600,1548100,0.0000,1.0000
2012-08-10,233.0800,234.8500,231.4300,232.7500,232.7500,1852500,0.0000,1.0000
2012-08-13,232.2300,234.3676,231.0000,232.4400,232.4400,1997300,0.0000,1.0000
2012-08-14,234.7100,236.7200,232.6207,233.1900,233.1900,2751000,0.0000,1.0000
2012-08-15,232.2600,238.1400,232.2500,237.4200,237.4200,3264700,0.0000,1.0000
2012-08-16,237.7200,242.8250,236.2000,241.5500,241.5500,4312100,0.0000,1.0000
2012-08-17,240.6000,243.3500,240.4700,241.1700,241.1700,3085800,0.0000,1.0000
2012-08-20,241.3736,241.6500,238.2000,240.3500,240.3500,1889900,0.0000,1.0000
2012-08-21,240.8800,243.8500,238.5500,239.4500,239.4500,2571500,0.0000,1.0000
2012-08-22,239.4000,244.9000,238.8000,243.1000,243.1000,2473700,0.0000,1.0000
2012-08-23,242.1400,243.4800,239.0200,241.1980,241.1980,2453900,0.0000,1.0000
2012-08-24,241.6800,246.8700,241.3600,245.7400,245.7400,3698800,0.0000,1.0000
2012-08-27,245.7900,247.5000,243.1200,243.9200,243.9200,2929700,0.0000,1.0000
2012-08-28,243.9700,246.7799,243.0000,246.1100,246.1100,2742300,0.0000,1.0000
2012-08-29,246.7800,247.6100,244.5900,247.1200,247.1200,1772600,0.0000,1.0000
2012-08-30,246.9900,250.0000,245.2500,246.2200,246.2200,3647500,0.0000,1.0000
2012-08-31,248.0700,249.4500,245.5001,248.2700,248.2700,3347500,0.0000,1.0000
2012-09-04,248.2700,251.0000,244.6600,247.8800,247.8800,3950800,0.0000,1.0000
2012-09-05,247.6100,248.6100,245.3000,246.2200,246.2200,2652600,0.0000,1.0000
2012-09-06,248.2300,252.7000,247.2000,251.3800,251.3800,5361400,0.0000,1.0000
